Name,Beschreibung,Anschrift,PLZ,Stadt,Ansprechpartner,Telefon,Telefax,Mail,Website
Jugendkunstschule Siegen-Wittgenstein e.V.,,Bismarckstr. 45,57076,Siegen,Herr Porschien,0271790690,0271790690,jukuschu@t-online.de, http//www.jugendkunstschule-siegen-wittgenstein.de
Jung-Stilling-Gesellschaft e.V.,Forschung Johann Heinrich Jung-Stilling,Postfach 10 04 33,57004,Siegen,Universitätsprofessor Dr. Gerhard Merk,,,merk@vwl.wiwi.uni-siegen.de dr.erich.mertens@t-on, http//www.uni-siegen.de/~stilling
Kunstverein Siegen,Herzlichen Willkommen beim Kunstverein Siegen...,Unters Schloß 1,57072,Siegen,Franz-Josef Weber,027121624,027121624,info@kunstverein-siegen.de, http//www.kunstverein-siegen.de
Modellbaufreunde Siegen,Interessengemeinschaft Plastikmodellbau,Talstrasse 63,57076,Siegen,Torsten Becker,01706052730,,info@modellbaufreunde-Siegen.de, http//www.modellbaufreunde-siegen.de
Modelleisenbahnclub Siegen,Modelleisenbahnclub - Siegen Siemensstr. 24 57074 Siegen,Friedrich-List-Straße 5,57074,Siegen,Wilhelm Schmidt,0271332821,,mec-siegen@t-online.de, http//www.modelleisenbahnclub-siegen.de
Naturfreunde OG Siegen,,Mörikestr. 46,57074,Siegen,Heinrich Killet,0271331939,0271331939,Naturfreunde-Siegen@web.de,
Sauerländischer Gebirgsverein Siegen e.V.,Wanderangebot,Ernst-Bach-Straße 4,57072,Siegen,Joachim Schmidt,02718706316,,info@sgv-siegen.de, http//www.sgv-siegen.de
SGV Weidenau,,Känerbergstr. 44,57076,Siegen,Joachim Meinhard,027143121,027143121,joachim.meinhard@t-online.de, http//www.sgv-weidenau.de
Siegerland.org e. V.,Der Siegerländer Heimatverein im Internet,Edelweißweg 1,57072,Siegen,Martin Schuß,02712381830,,info@siegerland.org, http//www.siegerland.org
Siegerländer Modellsportclub e.V.,Modellflugverein...,Postfach 210 729,57031,Siegen,Udo Hintermaier,0271370982,,U.Hintermaier@gmx.de, http//www.smc-siegen.de
Theatergruppe Die wilde 13 des Volksvereins Nied,,Eiserfelder Hütte 33,57080,Siegen,Ute Velte,0271382121,,theatergruppe_diewilde13@yahoo.de, http//de.geocities.com/theatergruppe_diewilde13/
Verein für Briefmarkenkunde und Postgeschichte 1908,Verein für Freunde der Briefmarken und Postgeschichte,Im Hainchen 37,57076,Siegen,Dr. Manfred Wagner,027143131,027143231,M.Wagner-Siegen@t-online.de, http//www.briefmarkenverein-siegen.de
VSG Eiserntal-Eisern Wanderfreunde,Wanderverein,Im Dudenbach 29a,57234,Wilnsdorf,Kurt Sälzer,027393343,,kurt.saelzer@t-online.de,
1. FCKV,Förderclub für Kleinkunst und Varieté,St.-Johann-Str. 18,57074,Siegen,Jutta Hartmann,02713332448,0271331073,info@siwikultur.de,
ARGE Klafeld - Geisweid - Dillnhütten,Arbeitsgemeinschaft der Vereine der ehemaligen Gemeinden Klafeld - Geisweid - Dillnhuetten,Setzer Strasse 47,57223,Kreuztal,Ralf Schneider,027188151,02714058592,ralf.schneider.kreuztal@t-online.de, http//www.klafeld-geisweid.de
BdP Pfadfinderstamm Hubertus Siegen e.V.,Pfadfinderstamm,Blücherstr. 8a,57072,Siegen,Ralf Jakubowski,027153900,,bdp@stamm-hubertus.de, http//www.stamm-hubertus.de
Förderkreis Kirchenmusik in St. Joseph Weidenau Siegen-Weidenau e.V.,Finanzielle Unterstützung der Kirchenmusik in St. Joseph,Graf-Luckner-Straße 85,57072,Siegen,Tanja Wagener,027125056878,02712503404,tawagener@gmx.net, http//www.kammerchor-weidenau.de
Förderverein der Freiwilligen Feuerwehr Eiserfeld e.V.,,Lindenstraße 58,57080,Siegen,Jürgen Denker,0271381829,,jdenkerzug11@aol.com,
Förderverein der Grundschule Dreisbach e.V.,,Martin-Luther-Str. 30,57080,Siegen,Günther Albrecht,0271311131,02713190419,guenther_albrecht@freenet.de,
Förderverein der Grundschule Kaan-Marienborn e.V.,Förderverein der Grundschule in Kaan-Marien und Träger der Betreuungseinrichtung,Ferdinandstraße 24,57074,Siegen,1. Vorsitzender: Michael Enders,,,dkv-me@gmx.de, http//www.gs-kaan-marienborn.de/foerderverein.htm
Förderverein des Evangelischen Gymnasiums Siegen e.V.,,Im Tiergarten 5-7,57076,Siegen,Ulla-Sabine Meyer,,,mail@evau-siegen.de, http//www.evau-siegen.de
Förderverein FF Siegen Löschzug Weidenau e.V.,,Stockweg 9,57076,Siegen,Michael Klein,01778342467,,michelklein@alice-dsl.net, http//www.feuerwehr-weidenau.de
Förderverein FFw Meiswinkel e.V.,,Heestalstraße 9,57078,Siegen,Reinhard Moll,027323878,027323878,reinhardmoll@t-online.de,
Förderverein Freiwillige Feuerwehr Achenbach e.V.,,Im Samelsfeld 57,57072,Siegen,Herr Klaus Manfred Simmert,02712341275,02712341420,simmert-klaus-m@t-online.de, http//www.feuerwehr-achenbach.de
Förderverein Freiwillige Feuerwehr Birlenbach,,Birlenbacher Str 160,57078,Siegen,Volker Grüdelbach,0271870132,,h-schwunk@web.de, http//www.feuerwehr-birlenbach.de
Förderverein Freiwillige Feuerwehr Klafeld-Geisweid,Feuerwehr Geisweid,Setzer Strasse 47,,Siegen,Ralf Schneider,+4927188151,+492714058592,Ralf.Schneider.Kreuztal@T-Online.de, http//Feuerwehr-Geisweid.de
Förderverein Freiwillige Feuerwehr Langenholdinghausen e.V.,,Holzklaustraße 10,57078,Siegen,Frank-Hermann Müller (Kassierer),027189145,02714044728,hollekusse@compuserve.de, http//feuerwehr-langenholdinghausen.de
Förderverein Freiwillige Feuerwehr Niederschelden e.V.,,Bogenstraße 74,57080,Siegen,Susanne Kaphammel,,,s.kaphammel@siegen.de,
Förderverein zur Erhaltung des Naturfreibades Seelbacher Weiher e.V.,Der Seelbacher Weiher liegt am Rande der Stadt Siegen mitten im Grünen. Neben dem Sonnen und Schwimmen lädt der Seelbacher Weiher auch  zum  Ausspannen und Spielen ein...,Bubergstr. 78,57072,Siegen,Reinhilde Katz,0271370771,,udobottenberg@t-online.de, http//www.seelbacher-weiher.de
HFS-Förderverein historischer Flugsport Siegen-Eisernhardt.e.V,,Gilbergstr.74,57080,Siegen,Robert Grisse,,,info@hfs-eisernhardt.de, http//www.hfs-eisernhardt.de
Kirchbauverein Siegen-Lindenberg e.V.,Der Kirchbauverein Siegen-Lindenberg unterstützt als Förderverein...,Wetzlarer Straße 95,57074,Siegen,Volker Meyer,027156152,027156152,volker_helmut.meyer@web.de,
Radioförderverein Siegerland-Wittgenstein,Bürgerfunkproduktionen Sendungen Qualifizierungen Produktionshilfe Verwaltung der Sendebeiträge,Hohler Weg 74,57074,Siegen,Herbert Perl /Henning Klaus,02718708165,02718708165,rw4601@aol.com, http//www.radiowerkstatt.top.ms
Ärzteverein Siegerland e.V.,Ärzteverein,Denkmalsweg 35,57080,Siegen,Günter R. Zimmermann,0271351441,0271381642,aerzte-siegen@online.de, http//www.aerzte-siegerland.de
Fischbacherberg aktiv e.V,,Kolberger Str. 32,57072,Siegen,Wolfgang Peun,0271312731,,wolfgangpeun@aol.com,
Heimat- und Verschönerungsgruppe im Volksverein Niederschelden e.V.,,Gorch-Fock-Straße 4,57080,Siegen,Herr Friedrich Schmidt,0271352405,,f.schmidt@heimatgruppe-niederschelden.de, http//www.heimatgruppe-niederschelden.de
Heimatverein Birlenbach e.V.,Verein zur Förderung der Heimatpflege Heimatkunde und der Heimatgeschichte,Birlenbacher Straße 195,57078,Siegen,Jürgen Bohn,027187985,02713039242,j-e.bohn@t-online.de,
Heimatverein Eisern e.V.,Alte Kapellenschule mit Heimatmuseum,In der Peeke 28,57080,Siegen,Klaus Eckhardt,0271392618oderDienstlich02715012232,,eckhardteisern@aol.com,
Siegerländer Heimat- und Geschichtsverein e.V.,,Kornmarkt 26,57072,Siegen,Geschäftsstelle Siegerländer Heimat- und Geschichtsvereins,02714041482,02714041482,info@siegerlaenderheimatverein.de, http//www.siegerlaenderheimatverein.de
Verein für Siegerländer Bergbau e.V. (VSB),Rekonstruktion und Erhalt von Relikten des Bergbaus Archivierung von Dokumentationen Karten Berichten Foto und Film zu diesem Themenbereich. Durchführen von Exkursionen im regionalen und überregionalen Bergbaugebieten.,Glockenstr. 15,57250,Netphen,Thomas Kettner,0273797247,,info@bergbau-siegerland.de, http//www.bergbau-siegerland.de
Jugendrotkreuz,Jugendgruppe des DRK Ortsverein Niederschelden e.V.,Maccostraße 12 a,57080,Siegen-Niederschelden,Kai Schütz,0271356541,,drk-niederschelden@web.de, http//www.drk-niederschelden.de
RaBauKi e.V.,,Obere Metzgerstraße 15,57072,Siegen,Frank Moschner,02712330198,,info@rabauki-siegen.de, http//www.rabauki.de
Familienzentrum Siegerländer Kindergruppe e.V.,Kindertagesstätte,Striegelborn 15,57080,Siegen,Frau Schneider,0271355160,02718095925,info@siegerlaender-kindergruppe.de, http//www.siegerlaender-kindergruppe.de
Verein Hilfe zum Leben e.V. / Ev.-Freik. Kindertageseinrichtung Arche Noah,Kindertageseinrichtung,Numbachstraße 9,57072,Siegen,Frau Thomas,02713300110,02713300242,leitung@kita-arche-noah-siegen.de, http//www.kita-arche-noah-siegen.de
Verein Hilfe zum Leben e.V. / Ev.-Freik. Kindertageseinrichtung Regenbogen,Kindertageseinrichtung / Familienzentrum,Heidenbergstraße 1c,57072,Siegen,Frau Wegner,02713134000,027123418810,leitung@kita-regenbogen-siegen.de, http//www.kita-regenbogen-siegen.de
Arbeitsgemeinschaft Siegerländer Künstler,Künstlergruppe in Siegen seit 1922,Koblenzer Str. 7,57072,Siegen,Mark Sauer Deutsche Bank AG,0271597211,0271597499,info@ask.siegen.de, http//www.ask-siegen.de
Deutsch-Amerikanische Gesellschaft Siegerland-Wittgenstein e.V.,Verein zur Förderung der deutsch-amerikanischen Freundschaft,Heidenbachswald 30,57234,Wilnsdorf,Volker Schüttenhelm,027150148006,032128704420,secretary@dagsiwi.de, http//www.dagsiwi.de
Deutsch-Philippinischer Freundschaftsverein Siegen e.V.,,Sonnenstraße 4,57078,Siegen,Norbert Jung,027185368,027185368,nobbyjung@arcor.de,
Gesellschaft für Deutsch-Chinesische Freundschaft Siegen e.V.,,Hüttseifen 13,57250,Netphen,Frau Isolde Gomberg,027178110,02717420306,isolde.gomberg@web.de, http//www.gdcfsiegen.de
Gesellschaft für Friedenserziehung e.V.,Durch Friedensarbeit soll ein menschliches Alltagsverhalten gefördert werden das durch Gewaltfreiheit Mitmenschlichkeit Gerechtigkeit und Nachhaltigkeit im Alltag geprägt ist um so eine Kultur des Friedens aktiv zu fördern...,Kölner Str. 11,57072,Siegen,Bernhard Nolz,02712382521,02712390985,kontakt@friedenskultur.de, http//www.friedenskultur.de
HaSi e.V.,Hackspace Siegen,Effertsufer 104,57072,Siegen,Katharina Reinhardt,,,kontakt@hasi.it, http//www.hasi.it
Siegener Kulturverein e.V.,,Frankfurter Straße 58,57074,Siegen,Patrick Pahner,02712318948,,info@kultur-und-bildung-siegen.de,
StyleFiasko e.V.,Verein zur Förderung der HipHop-Kultur,Siegstraße 89b,57076,Siegen,Andreas Unverzagt,,,info@stylefiasko.de, http//www.stylefiasko.de
Theatergruppe TheatraPack Siegen,Theater mit Herz und Humor -  TheatraPack,Probenörtlichkeit im Gemeindezentrum Erlöserkirche in der W,57074,Siegen,Eckhard Reinschmidt,02734479208,,th.utsch@web.de,
Verein zur Förderung von Kunst &amp Kultur im Siegerland,VEB Politik Kunst + Unterhaltung,Marienborner Straße 16,57074,Siegen,Manuela Sommer,027120312,,oeffentlichkeit@veb-siegen.de, http//www.veb-siegen.de
Bläserchor Geisweid,Der Bläserchor Geisweid gehört zur Freien evangelischen Gemeinde Siegen-Geisweid ...,Im Wiesental 39,57078,Siegen,Helmut Schnell Andreas Findeklee,027183193,,info@blaeserchor-geisweid.de, http//www.brassband-geisweid.de
Chorgruppe Euterpe 1853 Siegen e.V.,Hiermit laden wir herzliche alle Interessierten und Sangesfreudigen ein ...,Am Lohgraben 57,57074,Siegen,Michael Stahl,027122879,,info@euterpe-siegen.de, http//www.euterpe-siegen.de
Collegium Musicum Siegen e.V.,Sinfonieorchester,Auf dem Eudchen 15,57258,Freudenberg,Vorstand: Hans Ulrich Benz Monika Sasse Christine Klappert,02732590550,,vorstand@collegium-musicum-siegen.de,
Coverband xtry,xtry die Live Coverband,Annaweg 27,57223,Kreuztal,Andreas Schattinger,0273282541oder01716014783,,info@xtry.de, http//www.xtry.de
CVJM-Posaunenchor Kaan-Marienborn,,Rehbachstraße 17,57074,Siegen,Simon von der Heyden,027164160,,info@posaunenchor-kaan-marienborn.de, http//www.posaunenchor-kaan-marienborn.de
dee 2 - Verein für moderne Musik und Kultur e.V.,,Hauptstraße 86,57074,Siegen,Herr Torben Erfurth,02712337680,,mail@dee2.de, http//www.dee2.de
Ensemble Cantemus Siegen e.V.,Gemischter Chor Ensemble Cantemus Siegen e.V.,Am Bastenberg 2,57072,Siegen,Gottfried Herrmann,02713720012,,gottfried@herrmann-musik.de, http//www.ensemble-cantemus-siegen.de
GV Eintracht 1853 Eisern,Männerchor,Eiserntalstraße 482,57080,Siegen,Hans Georg Immel,0271390111,,vorstand@gv-eisern.de, http//www.gv-eintracht-eisern.de/
Kinder- und Jugendchor Siegen-Süd,Chor für Menschen zwischen 5 und 35 (oder älter) Jahren,Birkenweg 31,57080,Siegen,Helmut Utsch,02713510804,,info@kinder-jugendchor-siegen.de, http//www.kinder-jugendchor-siegen.de
Limited Edition - Musical and more e. V.,Musical- und Showformation,Am Köppel 37,57072,Siegen,Tobias Hellmann,02717032668,,info@faszinationmusical.com, http//www.faszinationmusical.com
MGV Harmonie Setzen,Leistungsstarker Männerchor mit viel Spaß am Singen und Feiern,Braasfeld 8,57078,Siegen,Wilfried Engelhard,0271800526,,we_setzen@surfeu.de, http//www.harmonie-setzen.de
Original Siegener Stadtmusikanten,10 Jahre Stimmung und Fröhlichkeit...,Oberstraße 46,57076,Siegen,Herr Dieter Steinhorst,027171945,027171945,,
pro musica sacra,Blechbläserensemble,Am Schiefen Weg 15,57223,Kreuztal,Reiner Klappert,0273281878,,reiner.klappert@promusicasacra.de, http//www.promusicasacra.de/
Siegener Blasorchester,Blasorchester...,Friedrich-Wilhelm-Strasse 47,57074,Siegen,Hermann Löcherbach (1. Vorsitzender),027157579,,SiegenerBlasorchester@gmx.de,
SIegener Saxophon Quartett,Siegener Saxophon Quartett Kammermusikalisches Ensemble,Am Fichtenhang 6,57072,Siegen,Herr S. Trögel,02712319731,,stefan@saxophon-quartett.de, http//www.saxophon-quartett.de
Siegerländer Bergknappenkapelle Niederschelden,Blasorchester,Am Lohberg 25,57290,Neunkirchen,Werner Schönau,0273560504,02735770797,werner.schoenau@t-online.de, http//www.bergknappen.de
Spielmannszug der Freiwilligen Feuerwehr Siegen-Oberschelden,Spielmannszug,Heuslingstraße 503,57258,Freudenberg,Thomas Jung,0273440653,,tb.jung@gmx.de,
Union-Spatzen,Der älteste Kinder- und Jugendchor im Siegerland,Kleeweg 2a,57072,Siegen,Birgit Fey,0271374192,,mail@union-spatzen.de, http//www.union-spatzen.de
Union-Spatzen,Kinderchor Jugendchor,Aehlstraße 25,57074,Siegen,Miriam Kring,02712502189,02712365723,mail@union-spatzen.de, http//www.union-spatzen.de
Yaipada e.V.,Gospel Chor aus Siegen,Rehbachstraße 28,57074,Siegen,Eckhard Müller,02713300527,,info@yaipada.de, http//www.yaipada.de
CDU - Ortsverband Eiserfeld,,Bühlstr. 144,57080,Siegen,Michael Heupel,02713829436,,michael.heupel@cdu-si.de,
Christian Revival Church e.V.,Penticostal Church,Freudenbergerstr.20,57072,Siegen,Pastor Gabriel Atembeh Forsong,02713878545,02713878569,crcsiegen@yahoo.com,
DİTİB - Türkisch Islamische Gemeinde zu Siegen e.V.,,Zum Wildgehege 3A + 5A,57078,Siegen,Herr Colak,02718772301775712910,02713131128,info@ditib-siegen.de, http//www.ditib-siegen.de
Evangelisch-methodistische Kirche (EmK),EmK = offenes Christsein verbindliche Gemeinschaft christuszentrierter Glaube,Hans-Kruse-Str. 23,57074,Siegen,Joachim Weber,0271331140,,siegen@emk.de, http//www.emk-siegen.de
Jesus Freaks Siegen e.V.,junge christliche Gemeinde,Friedrichstr. 134,57072,Siegen,S. Koppen,01604639268,,jesusfreakssiegen@web.de, http//www.jesusfreakssiegen.de
Schulverbund BLICK ÜBER DEN ZAUN e.V.,,Adolf-Reichwein-Straße 2,57068,Siegen,Wolfgang Harder / Hans Brügelmann / Axel Backhaus,02717404716,02717402509,blickueberdenzaun@uni-siegen.de, http//www.blickueberdenzaun.de
Kyffhaeuser-und Schützenkameradschaft Siegen von 1870 e.V.,Schützenverein mit Jugendabteilung,Ypernstraße 192,57072,Siegen,Herbert Bäumer,0271310516,02713174428,baeumer-siegen@online.de, http//www.kyffhaeuser-siegen.de
Schützenverein Eiserfeld 1935 e.V.,,Tretenbach 21,57080,Siegen,Jörg Schneider,0271352013,0271381087,JOER.SCH@gmx.de, http//www.sv-eiserfeld.de
Schützenverein Kaan-Marienborn e.V.,Schießsport Geselligkeit Tradition,Körnerstraße 21,57072,Siegen,Sportleiter Roland Schür,027154975,,roland.schuer@t-online.de, http//www.sv-kaan-marienborn.de
Schützenverein Meiswinkel,Internetauftritt vom Schützenverein Meiswinkel,Rotenhain 1,57078,Siegen,Axel Blöcher,0273221829,,info@sv-meiswinkel.de, http//www.sv-meiswinkel.de
Schützenverein Weidenau 1957 e.V.,Schießsport Jugendarbeit Geselligkeit Tradition,Köhlerweg,57076,Siegen,Peter Fischer,027163072,,,
Sportschützen Hengsbach &amp Almer 1951 e.V.,,Flußbergstr. 58,57080,Siegen,Sportleiter Friedhelm Krombach,0271356239,,webmasterteam@hengsbach-almer.de, http//www.hengsbach-almer.de
Sportschützenverein Achenbach von 1962 e.V.,,Im Langenseifen 7,57072,Siegen,Herr Thorsten Wecker,02713190139,,th.wecker@web.de,
die Lanzenritter e.V.,mittelalterliche Reiterei,Rathausstraße 1,35685,Dillenburg,Rüdiger Lange,01708022842,,ruedilange56@freenet.de, http//www.lanzenritter.de
Die Tierfreunde e.V.,Tierrechtsorganisation,In der Hubach 60,57080,Siegen,Tanja Günther,02713177680,02713177906,info@die-tierfreunde.de, http//www.die-tierfreunde.de
Haus &amp Grund Hüttental und Umgebung e.V.,Ortsverein der bundesweiten Eigentümerschutzgemeinschaft Haus &amp Grund,Rathausstraße 7,57078,Siegen,Rechtsanwalt Andreas Wagener,027187353,02714058515,hausundgrundhuettental@t-online.de,
Haus &amp Grund Niederschelden e.V.,,Siegtalstraße 190,57080,Siegen,Thomas Mager,02713510349,02713510423,RAMAGERSIE@aol.com,
ISG Immobilien- und Standortgemeinschaft Oberstadt Siegen e.V.,,Löhrstraße 28,57074,Siegen,Harald Hahn,02714057011,02714057022,info@isg-oberstadt.de, http//www.isg-oberstadt.de
ISiS - International Students in Siegen e.V.,fachbereichsübergreifende Initiative von Studierenden,Hölderlinstraße 3,57072,Siegen,Vorstand,,,isis@uni-siegen.de, http//www.isis-siegen.de
Islamisches Gemeindezentrum Siegen e. V.,,Königstr. 1a,57078,Geisweid,Herr Mete,02718708110,02718708110,IGZ-Siegen@web.de,
Katholische Kirchengemeinde St. Michael,Infos rund um St. Michael,Kampenstr. 46,57072,Siegen,Pfarrer Wolfgang Winkelmann,027141977,027142297,info@sankt-michael-siegen.de, http//www.sankt-michael-siegen.de
Katzenschutz-Verein Siegen e.V.,,Im Wolfseifen 4,57072,Siegen,Norbert Koch,02713720031,,kontakt@katzenschutz-siegen.de, http//www.katzenschutz-siegen.de
Landwirtschaftliche Gemeinschaft Siegerland e.V.,Sozial- und umweltkulturelle Initiative,Birkenhof 2,57234,Wilnsdorf,Eckhard Jungclausen,0273947698,027394245,info@birkenhof.de, http//www.birkenhof-siegerland.de
Notgemeinschaft Hilfe am Grabe Eiserfeld,Sterbekasse,Gartenstraße 105,57080,Siegen,Detlev Nigge,0271385254,,infosterbekasse@aol.com, http//www.sterbekasse-eiserfeld.de
Notgemeinschaft Hilfe am Grabe Birlenbach,Sterbekasse,Abendröthe 14,57078,Siegen,Werner Heinbach,027184601,,,
Oberschelder Schlepperfreunde e. V.,Traktoren und Landtechnik,Vor der Hohler 6,57080,Siegen,Frank Brümmer,0271356274,,frankbrummi@hotmail.com,
Red Dragon's MC Germany 1979,Motorradclub im alten Stil,wird noch bekannt gegeben,57072,Siegen,Micha,,,red-dragons-mc@web.de, http//www.red-dragons.de
Rettungshundestaffel Siegen-Wittgenstein e.V.,Rettungshundestaffel mit Sitz in Siegen,Zur Dreispitz 18,57299,Burbach,Holger Schulz,027454010745,,info@rhs-siwi.de, http//www.rettungshundestaffel-siegen-wittgenstein.de
Sachverständige für Feuchte- und  Schimmelpilzschäden e. V.,Sachverständige für Feuchte- und Schimmelpilzschäden e. V.,Eiserfelder Straße 316,57080,Siegen,Wolfgang Maasjost,02713869118,02713869117,wm@sfs-ev.de, http//www.sfs-ev.de
Schlaraffia an der Sieg e.V.,Pflege von Kunst Freundschaft und Humor,Zum Söhler 52,57076,Siegen,Kurt Randolf Spiess,027179391,027179391,ragisi@aol.com, http//www.AnDerSieg.de
Stadtjugendring Siegen e.V.,Arbeitsgemeinschaft der Siegener Jugendgruppen und Verbände,Weidenauer Straße 211 - 213,57076,Siegen,Wolfgang Schollmeyer,02714042221,,w.schollmeyer@siegen.de, http//www.stadtjugendring.org
Tierhilfe West e.V.,,Bogenstr. 75,57080,Siegen,Frank Ohlig,02712400222,02712400224,info@tierhilfe-west.de, http//www.tierhilfe-west.de
Tierschutzverein Alchetal e.V,Ein Verein der auch Nutztiere aufnimmt und schützt,Tiergartenstr. 41,57072,Siegen,Heidi Mattick,027120118,02712346601,info@tierschutzverein-alchetal.de, http//www.tierschutzverein-alchetal.de
Tierschutzverein für Siegen und Umgebung e.V.,Tierschutz und Tiervermittlung,Heidenbergstraße 80,57072,Siegen,Horst Reimann,0271310620,0271311080,info@tierheim-siegen.de, http//www.tierheim-siegen.de
Verein für soziale Arbeit und Kultur Südwestfalen,soziale Beratung und Kulturarbeit,Sandstr.12,57072,Siegen,Telefon: 0271/55763,027155763,027155763,VAKS-eV@gmx.de,
Verein zur Unterstützung des Technischen Hilfswerk Siegerland e.V.,THW Siegen Helferverein e.V.,Numbachstrasse 2,57072,Siegen,Henrik Keßler,027152350,,verein@thw-siegen.de, http//www.thw-siegen.de
Vereinigung für Artenschutz und Vogelzucht (AZ) e.V.,AZ-Ortsgruppe 108 Siegen und Umgebung,Am Nöchel 14,57223,Kreuztal,Kryschan Elfie (1. Vors.),0273257594,,elfie.kryschan@az-siegen.de, http//www.vogelverein-siegerland.de/
VW-Porsche 914 Club Siegerland e.V.,Oldtimer VW-Porsche 914 Club,Goethestr. 19,57250,Netphen,Marc Perkovic,0271780780,0271780780,info@914-siegerland.de, http//www.914-siegerland.de
Blaues Kreuz Eiserfeld e.V.,Suchtkrankenhilfe / Vermietung Freizeitheim (Selbstversorger),Bonifatiusweg 8,57080,Siegen,Klaus-Jürgen Schütz,0271311115,,JoUtsch@aol.com, http//www.haus-lebensquell.org
Blaues Kreuz in Deutschland e.V. Ortsverein Eiserfeld,,Eiserntalstraße 86,57080,Siegen,Karl Ludwig,,,eiserfeld@blaues-kreuz.de, http//www.blaues-kreuz.de/eiserfeld
CVJM Eiserfeld e.V.,CVJM in Eiserfeld,Zum Obstgarten 15,57080,Siegen,Ralf Schumann Vereinsvorsitzender,02713510370,,info@cvjm-eiserfeld.de, http//www.cvjm-eiserfeld.de
CVJM Eisern e.V.,Christlicher Verein junger Menschen e.V.,Haferrain 5,57080,Siegen,Arnd Krämer,0271392227,,arnd.kraemer@cvjm-eisern.de, http//www.cvjm-eisern.de
CVJM Gosenbach,Christlicher Verein Junger Menschen,Keppelscher Hof,57080,Siegen,Karl Wagner,0271353489,02713500282,info@cvjm-gosenbach.de, http//www.cvjm-gosenbach.de
CVJM Weidenau e.V.,,Am Friedrich-Flender-Platz 8,57076,Siegen,Susanne Hoffmann Stein,027141297,,info@cvjm-weidenau.de, http//www.cvjm-weidenau.de
Deutsche Epilepsievereinigung Landesverband NRW gem.e.V.,Deutsche Epilepsievereinigung Landesverband Nordrhein-Westfalen e.V.,Am Hamerich 3,57074,Siegen,Marc Vervenne,02712316290,02712316291,marc.vervenne@tele2.de, http//www.de-nrw.de
